iter	Passed	Remaining
0	2	247
1	5	274
2	8	268
3	11	271
4	13	249
5	16	263
6	18	249
7	20	233
8	22	224
9	24	220
10	26	212
11	28	208
12	34	232
13	37	227
14	38	219
15	40	212
16	42	208
17	44	200
18	49	209
19	51	204
20	52	199
21	54	193
22	56	189
23	58	184
24	61	183
25	63	179
26	65	176
27	67	172
28	69	169
29	70	165
30	72	161
31	74	158
32	76	154
33	77	150
34	79	147
35	81	144
36	82	141
37	84	137
38	86	134
39	87	131
40	89	129
41	91	125
42	92	123
43	94	120
44	95	117
45	97	114
46	99	111
47	101	109
48	102	106
49	104	104
50	105	101
51	107	99
52	109	97
53	113	96
54	114	93
55	116	91
56	127	96
57	130	94
58	133	92
59	136	91
60	138	88
61	140	86
62	143	84
63	147	82
64	152	82
65	156	80
66	157	77
67	159	75
68	162	72
69	165	70
70	166	68
71	168	65
72	170	63
73	172	60
74	174	58
75	175	55
76	177	52
77	179	50
78	182	48
79	184	46
80	186	43
81	188	41
82	190	38
83	192	36
84	194	34
85	196	31
86	198	29
87	200	27
88	202	24
89	203	22
90	205	20
91	206	17
92	209	15
93	210	13
94	214	11
95	216	9
96	217	6
97	219	4
98	220	2
99	222	0
